Date,Time,Milliseconds,Treating Pressure,BH Pressure(meas)
2019-11-16,06:05:52,000,7162.83984375,10989.3203125
2019-11-16,06:05:53,000,7189.14013671875,10988.7900390625
2019-11-16,06:05:54,000,7160.83984375,11009.3896484375
2019-11-16,06:05:55,000,7152.4599609375,10984.2197265625
2019-11-16,06:05:56,000,7163.31005859375,10980.01953125
2019-11-16,06:05:57,000,7164.89013671875,10991.25
2019-11-16,06:05:58,000,7175.22021484375,10994.8203125
2019-11-16,06:05:59,000,7149.64013671875,11002.7099609375
2019-11-16,06:06:00,000,7174.419921875,10983.259765625
2019-11-16,06:06:01,000,7167.56982421875,11004.5302734375
2019-11-16,06:06:02,000,7183.81005859375,10998.6396484375
2019-11-16,06:06:03,000,7139.89013671875,11007.5400390625
2019-11-16,06:06:04,000,7145.31005859375,10966.25
2019-11-16,06:06:05,000,7149.39013671875,10969.0302734375
2019-11-16,06:06:06,000,7154.68994140625,10971.259765625
2019-11-16,06:06:07,000,7130.009765625,10971.83984375
2019-11-16,06:06:08,000,7135.81005859375,10949.7099609375
2019-11-16,06:06:09,000,7160.81982421875,10956.51953125
2019-11-16,06:06:10,000,7163.39013671875,10979.2900390625
2019-11-16,06:06:11,000,7145.25,10980.669921875
2019-11-16,06:06:12,000,7132.2099609375,10965.080078125
2019-11-16,06:06:13,000,7147.740234375,10956.7197265625
2019-11-16,06:06:14,000,7166.27978515625,10973.8095703125
2019-11-16,06:06:15,000,7152.60009765625,10990.6103515625
2019-11-16,06:06:16,000,7153.93994140625,10978.8603515625
2019-11-16,06:06:17,000,7153.31982421875,10980.400390625
2019-11-16,06:06:18,000,7168.7998046875,10981.8798828125
2019-11-16,06:06:19,000,7160.41015625,10995.6396484375
2019-11-16,06:06:20,000,7149.27978515625,10988.4404296875
2019-11-16,06:06:21,000,7154.77978515625,10980.169921875
2019-11-16,06:06:22,000,7151.47998046875,10984.849609375
2019-11-16,06:06:23,000,7147.6298828125,10979.6396484375
2019-11-16,06:06:24,000,7103.97021484375,10969.5
2019-11-16,06:06:25,000,7132.0498046875,10931.1298828125
2019-11-16,06:06:26,000,7127.1201171875,10953.740234375
2019-11-16,06:06:27,000,7163.14013671875,10951.6103515625
2019-11-16,06:06:28,000,7127.75,10980.990234375
2019-11-16,06:06:29,000,7146.009765625,10952.740234375
2019-11-16,06:06:30,000,7145.02001953125,10970.240234375
2019-11-16,06:06:31,000,7158.7998046875,10971.91015625
2019-11-16,06:06:32,000,7143.52001953125,10982.650390625
2019-11-16,06:06:33,000,7126.830078125,10966.580078125
2019-11-16,06:06:34,000,7140.580078125,10953.3798828125
2019-11-16,06:06:35,000,7134.89013671875,10965.259765625
2019-11-16,06:06:36,000,7150.89990234375,10962.169921875
2019-11-16,06:06:37,000,7124.27978515625,10974.41015625
2019-11-16,06:06:38,000,7163.759765625,10956.4697265625
2019-11-16,06:06:39,000,7170.669921875,10995.66015625
2019-11-16,06:06:40,000,7176.3798828125,11003.73046875
2019-11-16,06:06:41,000,7127.22998046875,11004.5498046875
2019-11-16,06:06:42,000,7114.2998046875,10958.8095703125
2019-11-16,06:06:43,000,7118.93994140625,10946.4501953125
2019-11-16,06:06:44,000,7117.7099609375,10948.509765625
2019-11-16,06:06:45,000,7099.1201171875,10942.1103515625
2019-11-16,06:06:46,000,7097.56005859375,10922.4599609375
2019-11-16,06:06:47,000,7117.72998046875,10922.1796875
2019-11-16,06:06:48,000,7125.75,10941.580078125
2019-11-16,06:06:49,000,7107.85986328125,10948.7900390625
2019-11-16,06:06:50,000,7104.72998046875,10932.9697265625
2019-11-16,06:06:51,000,7114.9599609375,10932.2802734375
2019-11-16,06:06:52,000,7145.8701171875,10944.2197265625
2019-11-16,06:06:53,000,7124.10986328125,10969.3095703125
2019-11-16,06:06:54,000,7120.7099609375,10949.3798828125
2019-11-16,06:06:55,000,7130.4501953125,10947.4404296875
2019-11-16,06:06:56,000,7157.5498046875,10959.76953125
2019-11-16,06:06:57,000,7152.93994140625,10983.01953125
2019-11-16,06:06:58,000,7127.419921875,10976.1103515625
2019-11-16,06:06:59,000,7146.4599609375,10954.330078125
2019-11-16,06:07:00,000,7151.64013671875,10971.2197265625
2019-11-16,06:07:01,000,7170.97021484375,10976.259765625
2019-11-16,06:07:02,000,7125.85986328125,10987.91015625
2019-11-16,06:07:03,000,7156.06005859375,10952.91015625
2019-11-16,06:07:04,000,7146.43994140625,10982.91015625
2019-11-16,06:07:05,000,7168.25,10980.490234375
2019-11-16,06:07:06,000,7131.68994140625,10998.8203125
2019-11-16,06:07:07,000,7139.68994140625,10969.5595703125
2019-11-16,06:07:08,000,7149.89990234375,10981.080078125
2019-11-16,06:07:09,000,7147.43994140625,10990.759765625
2019-11-16,06:07:10,000,7123.81005859375,10985.8798828125
2019-11-16,06:07:11,000,7089.22021484375,10961.3095703125
2019-11-16,06:07:12,000,7119.68994140625,10933.7802734375
2019-11-16,06:07:13,000,7115.8701171875,10961.4404296875
2019-11-16,06:07:14,000,7130.56982421875,10959.669921875
2019-11-16,06:07:15,000,7098.240234375,10969.9296875
2019-11-16,06:07:16,000,7130.0498046875,10945.7099609375
2019-11-16,06:07:17,000,7129.39990234375,10975.75
2019-11-16,06:07:18,000,7121.22021484375,10976.240234375
2019-11-16,06:07:19,000,7099.1201171875,10967.6396484375
2019-11-16,06:07:20,000,7109.52001953125,10949.9697265625
2019-11-16,06:07:21,000,7117.169921875,10961.8701171875
2019-11-16,06:07:22,000,7103.7001953125,10968.01953125
2019-11-16,06:07:23,000,7097.580078125,10955.150390625
2019-11-16,06:07:24,000,7109.2900390625,10950.3095703125
2019-11-16,06:07:25,000,7130.509765625,10963.2197265625
2019-11-16,06:07:26,000,7136.93017578125,10983.0498046875
2019-11-16,06:07:27,000,7120.3701171875,10987.16015625
2019-11-16,06:07:28,000,7117.35009765625,10972.25
2019-11-16,06:07:29,000,7112.0400390625,10969.900390625
2019-11-16,06:07:30,000,7119.7998046875,10967.2900390625
2019-11-16,06:07:31,000,7100.58984375,10972.759765625
2019-11-16,06:07:32,000,7096.60986328125,10955.1103515625
2019-11-16,06:07:33,000,7112.7900390625,10951.169921875
2019-11-16,06:07:34,000,7117.60986328125,10963.599609375
2019-11-16,06:07:35,000,7123.2900390625,10965.650390625
2019-11-16,06:07:36,000,7109.77001953125,10966.830078125
2019-11-16,06:07:37,000,7140.3798828125,10955.580078125
2019-11-16,06:07:38,000,7127.4501953125,10979.51953125
2019-11-16,06:07:39,000,7136.06982421875,10968.580078125
2019-11-16,06:07:40,000,7097.52001953125,10972.009765625
2019-11-16,06:07:41,000,7127.2900390625,10939.2197265625
2019-11-16,06:07:42,000,7127.580078125,10963.169921875
2019-11-16,06:07:43,000,7143.259765625,10961.1201171875
2019-11-16,06:07:44,000,7127.39990234375,10968.1904296875
2019-11-16,06:07:45,000,7127.52001953125,10946.669921875
2019-11-16,06:07:46,000,7141.7900390625,10940.400390625
2019-11-16,06:07:47,000,7140.85009765625,10945.2998046875
2019-11-16,06:07:48,000,7152.47021484375,10938.2099609375
2019-11-16,06:07:49,000,7165,10942.2998046875
2019-11-16,06:07:50,000,7215.6201171875,10950.4501953125
2019-11-16,06:07:51,000,7226.830078125,10988.26953125
2019-11-16,06:07:52,000,7249.08984375,10991.1796875
2019-11-16,06:07:53,000,7243.2001953125,11000.16015625
2019-11-16,06:07:54,000,7246.75,10983.9296875
2019-11-16,06:07:55,000,7271.2998046875,10979.1201171875
2019-11-16,06:07:56,000,7270.9599609375,10991.76953125
2019-11-16,06:07:57,000,7276.56982421875,10983.5
2019-11-16,06:07:58,000,7287.52978515625,10982.4697265625
2019-11-16,06:07:59,000,7313.6298828125,10989
2019-11-16,06:08:00,000,7305.85986328125,11006.08984375
2019-11-16,06:08:01,000,7303.60986328125,10992.48046875
2019-11-16,06:08:02,000,7312.89990234375,10985.2900390625
2019-11-16,06:08:03,000,7320.72998046875,10988.8798828125
2019-11-16,06:08:04,000,7346.06005859375,10992.0595703125
2019-11-16,06:08:05,000,7319.14013671875,11004.2197265625
2019-11-16,06:08:06,000,7329.7001953125,10973.419921875
2019-11-16,06:08:07,000,7314.43017578125,10975.0302734375
2019-11-16,06:08:08,000,7347.43017578125,10958.669921875
2019-11-16,06:08:09,000,7329.89990234375,10979.8701171875
2019-11-16,06:08:10,000,7340.10986328125,10958.75
2019-11-16,06:08:11,000,7335.77001953125,10961.2197265625
2019-11-16,06:08:12,000,7350.47021484375,10953.3603515625
2019-11-16,06:08:13,000,7350.169921875,10960.16015625
2019-11-16,06:08:14,000,7344.68017578125,10952.830078125
2019-11-16,06:08:15,000,7363.85009765625,10943.2900390625
2019-11-16,06:08:16,000,7370.93994140625,10954.33984375
2019-11-16,06:08:17,000,7385.31982421875,10955.9296875
2019-11-16,06:08:18,000,7361.169921875,10960.150390625
2019-11-16,06:08:19,000,7357.9599609375,10933.25
2019-11-16,06:08:20,000,7357.22021484375,10924.7900390625
2019-11-16,06:08:21,000,7362.58984375,10919.2197265625
2019-11-16,06:08:22,000,7345.14990234375,10918.1796875
2019-11-16,06:08:23,000,7337.52001953125,10897.8701171875
2019-11-16,06:08:24,000,7344.9599609375,10886.849609375
2019-11-16,06:08:25,000,7347.02001953125,10888.3203125
2019-11-16,06:08:26,000,7348.66015625,10885.4404296875
2019-11-16,06:08:27,000,7354.669921875,10882.740234375
2019-11-16,06:08:28,000,7358.7099609375,10883.16015625
